state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
32,103,0,0,0,0,107.9,111,18.34,166.9,129,14.19,208.5,78,9.38,9.7,3,2.62,1
43,73,1,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1
14,117,0,0,0,0,228.3,84,38.81,152.6,92,12.97,309.7,101,13.94,3.7,3,1.0,3
4,120,1,0,0,0,252.1,110,42.86,226.1,103,19.22,155.6,83,7.0,13.8,3,3.73,1
6,60,1,1,1,45,135.6,101,23.05,94.9,73,8.07,154.0,118,6.93,9.8,3,2.65,4
50,159,1,0,0,0,167.4,68,28.46,143.8,74,12.22,140.1,111,6.3,10.3,3,2.78,0
36,112,1,0,0,0,166.0,79,28.22,74.6,100,6.34,247.9,74,11.16,6.3,7,1.7,0
0,97,1,0,1,24,176.1,109,29.94,159.4,81,13.55,269.1,94,12.11,12.1,9,3.27,0
18,123,2,0,1,32,212.3,77,36.09,251.5,78,21.38,208.7,85,9.39,6.6,2,1.78,3
49,68,1,0,0,0,231.1,57,39.29,153.4,55,13.04,191.3,123,8.61,9.6,4,2.59,3
13,127,0,0,0,0,102.8,128,17.48,143.7,95,12.21,191.4,97,8.61,10.0,5,2.7,1
32,20,0,0,0,0,131.5,64,22.36,161.8,124,13.75,158.6,106,7.14,14.8,5,4.0,0
13,92,1,0,0,0,197.2,113,33.52,242.3,116,20.6,192.0,76,8.64,11.0,5,2.97,2
23,161,0,0,0,0,252.3,120,42.89,243.8,98,20.72,284.4,96,12.8,9.2,2,2.48,1
9,39,2,0,0,0,121.6,99,20.67,267.6,99,22.75,99.7,88,4.49,7.1,2,1.92,1
6,199,1,0,1,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8.0,2,2.16,0
5,121,0,1,0,0,167.7,94,28.51,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62,3
11,19,2,0,1,34,206.4,111,35.09,229.7,118,19.52,156.7,81,7.05,11.8,10,3.19,3
46,106,2,1,0,0,196.7,100,33.44,210.2,109,17.87,173.8,83,7.82,7.8,1,2.11,4
49,141,1,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0
13,224,2,0,0,0,111.4,133,18.94,175.0,66,14.88,217.2,106,9.77,5.5,6,1.49,3
50,126,0,1,0,0,197.6,126,33.59,246.5,112,20.95,285.3,104,12.84,12.5,8,3.38,2
47,161,1,0,0,0,151.6,117,25.77,219.4,87,18.65,224.7,68,10.11,4.0,5,1.08,1
15,94,2,0,0,0,245.0,112,41.65,180.4,91,15.33,262.9,105,11.83,9.7,6,2.62,1
8,97,2,0,0,0,225.1,90,38.27,279.5,127,23.76,233.8,103,10.52,8.8,4,2.38,0
33,71,1,1,0,0,178.2,113,30.29,167.8,94,14.26,182.1,111,8.19,13.6,3,3.67,3
9,22,1,0,0,0,181.8,108,30.91,198.6,148,16.88,206.6,96,9.3,9.3,3,2.51,2
36,134,0,0,1,10,159.4,79,27.1,91.0,94,7.74,199.5,137,8.98,10.0,3,2.7,2
9,113,1,0,0,0,317.1,97,53.91,224.8,70,19.11,215.1,90,9.68,13.6,2,3.67,1
1,106,1,0,0,0,212.9,110,36.19,187.0,69,15.9,128.1,71,5.76,6.3,3,1.7,3
35,109,1,0,0,0,193.6,58,32.91,148.7,115,12.64,282.5,105,12.71,13.1,1,3.54,2
49,92,2,0,1,16,184.0,99,31.28,76.4,134,6.49,185.1,96,8.33,12.7,3,3.43,2
10,71,1,0,0,0,258.4,132,43.93,126.8,119,10.78,182.4,87,8.21,9.7,8,2.62,4
15,113,1,0,0,0,209.4,151,35.6,347.3,113,29.52,246.0,116,11.07,7.4,2,2.0,1
42,127,1,0,1,28,235.6,124,40.05,236.8,113,20.13,241.2,127,10.85,7.7,2,2.08,1
48,140,1,0,0,0,129.6,79,22.03,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3
37,138,1,1,1,28,211.2,117,35.9,312.5,98,26.56,178.0,118,8.01,10.7,2,2.89,3
15,51,2,0,0,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0
2,72,1,0,1,27,111.7,68,18.99,252.8,106,21.49,255.5,109,11.5,7.8,4,2.11,1
34,142,1,0,0,0,145.4,93,24.72,209.1,98,17.77,214.0,96,9.63,10.9,1,2.94,1
34,131,1,0,0,0,264.2,118,44.91,180.0,89,15.3,223.9,104,10.08,10.7,1,2.89,2
17,45,1,0,1,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0
31,60,1,1,0,0,97.2,91,16.52,243.7,93,20.71,235.0,116,10.58,10.1,2,2.73,1
1,181,1,0,1,27,190.3,93,32.35,249.0,127,21.17,215.7,82,9.71,10.6,4,2.86,1
3,59,0,0,0,0,150.2,70,25.53,185.7,98,15.78,212.5,128,9.56,12.1,2,3.27,1
9,166,2,1,0,0,47.7,89,8.11,264.4,95,22.47,235.2,97,10.58,13.2,3,3.56,0
23,122,1,0,0,0,234.1,101,39.8,200.2,121,17.02,237.4,89,10.68,13.1,9,3.54,2
39,106,1,0,0,0,155.9,90,26.5,198.0,101,16.83,189.1,95,8.51,8.0,2,2.16,2
39,129,1,0,0,0,139.5,119,23.72,289.3,105,24.59,129.4,97,5.82,13.1,8,3.54,0
32,59,0,0,0,0,145.8,95,24.79,228.3,81,19.41,247.5,87,11.14,9.6,5,2.59,0
26,51,1,0,1,26,236.8,61,40.26,263.4,97,22.39,181.1,91,8.15,11.2,8,3.02,1
38,83,1,0,0,0,228.4,113,38.83,163.3,103,13.88,248.0,114,11.16,7.8,6,2.11,1
30,171,1,0,0,0,262.1,78,44.56,171.6,113,14.59,208.7,100,9.39,5.3,3,1.43,0
6,152,0,0,1,20,239.1,105,40.65,209.1,111,17.77,268.2,130,12.07,13.3,3,3.59,5
15,84,0,0,0,0,217.1,99,36.91,236.0,68,20.06,118.3,120,5.32,9.4,4,2.54,1
25,145,2,1,1,30,175.3,107,29.8,153.3,116,13.03,233.6,85,10.51,11.1,3,3.0,1
30,111,2,0,0,0,197.1,117,33.51,227.8,128,19.36,214.0,101,9.63,9.3,11,2.51,0
20,120,1,0,0,0,94.3,97,16.03,181.5,91,15.43,176.5,149,7.94,9.6,4,2.59,1
22,57,1,0,0,0,140.0,100,23.8,174.7,102,14.85,258.5,111,11.63,13.3,4,3.59,1
50,57,0,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0
10,160,1,0,1,29,164.6,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,1
23,125,1,1,1,29,260.8,81,44.34,163.7,112,13.91,271.7,117,12.23,17.0,6,4.59,1
11,99,0,0,0,0,135.7,107,23.07,208.4,103,17.71,209.0,95,9.4,8.8,3,2.38,7
30,82,0,0,0,0,156.0,94,26.52,295.6,118,25.13,196.9,84,8.86,14.3,3,3.86,0
23,120,1,0,0,0,198.0,101,33.66,190.2,74,16.17,241.2,105,10.85,8.3,10,2.24,4
17,90,1,0,0,0,193.7,83,32.93,154.2,79,13.11,299.0,60,13.46,12.7,3,3.43,1
17,131,1,0,0,0,166.5,129,28.31,210.2,107,17.87,257.2,93,11.57,9.9,5,2.67,1
1,61,1,0,1,20,254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,0
21,100,2,0,1,30,58.8,104,10.0,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92,0
7,180,1,0,1,33,231.8,78,39.41,232.9,79,19.8,206.9,121,9.31,7.6,4,2.05,1
50,157,1,1,0,0,180.4,123,30.67,194.0,98,16.49,227.3,88,10.23,8.4,5,2.27,0
41,168,1,0,1,22,175.9,70,29.9,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97,2
30,56,1,0,1,24,121.7,87,20.69,184.0,76,15.64,266.6,98,12.0,12.7,3,3.43,1
28,51,2,0,0,0,227.2,89,38.62,194.4,106,16.52,243.4,126,10.95,14.9,2,4.02,0
29,70,1,0,0,0,213.4,86,36.28,204.7,77,17.4,256.6,101,11.55,5.7,4,1.54,1
34,64,0,0,0,0,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62,1
29,127,0,0,0,0,135.5,110,23.04,146.0,116,12.41,208.0,88,9.36,10.7,4,2.89,2
23,46,1,0,0,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2
22,81,1,1,0,0,149.4,68,25.4,171.9,98,14.61,214.5,97,9.65,17.9,3,4.83,3
48,63,2,0,1,34,152.2,119,25.87,227.1,91,19.3,195.7,103,8.81,12.3,5,3.32,1
39,1,2,0,0,0,241.5,114,41.06,195.2,94,16.59,201.6,93,9.07,14.1,3,3.81,3
44,48,2,0,1,43,172.0,111,29.24,200.2,64,17.02,233.1,96,10.49,8.0,5,2.16,1
21,66,2,0,0,0,118.0,133,20.06,248.1,99,21.09,214.4,122,9.65,5.3,5,1.43,1
31,135,2,0,1,28,201.4,100,34.24,246.5,117,20.95,154.8,131,6.97,12.9,4,3.48,2
30,114,2,1,1,28,136.4,93,23.19,170.0,90,14.45,191.5,73,8.62,14.6,4,3.94,2
17,110,0,0,0,0,244.7,84,41.6,106.4,95,9.04,194.9,61,8.77,10.5,1,2.84,2
28,97,1,0,0,0,197.8,122,33.63,208.2,147,17.7,106.3,115,4.78,15.1,4,4.08,1
48,100,2,0,1,38,224.7,121,38.2,294.0,131,24.99,290.0,61,13.05,9.8,6,2.65,0
35,65,0,0,0,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1
37,69,0,0,0,0,196.1,87,33.34,236.8,66,20.13,182.3,75,8.2,11.9,1,3.21,0
22,61,0,0,0,0,208.4,102,35.43,326.1,96,27.72,201.9,73,9.09,10.1,8,2.73,1
13,88,1,0,0,0,55.6,65,9.45,242.7,121,20.63,176.3,134,7.93,11.3,4,3.05,0
20,5,0,0,0,0,198.7,108,33.78,146.7,86,12.47,216.8,95,9.76,9.5,3,2.57,2
49,116,1,0,0,0,255.5,93,43.44,224.4,122,19.07,317.3,85,14.28,12.7,4,3.43,1
7,29,2,0,0,0,182.1,92,30.96,180.4,91,15.33,206.4,128,9.29,7.2,2,1.94,2
47,137,0,0,0,0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,11.1,5,3.0,0
44,81,1,0,1,24,130.1,117,22.12,196.0,61,16.66,139.3,123,6.27,11.4,5,3.08,0
21,80,0,0,0,0,322.3,113,54.79,222.0,95,18.87,162.8,123,7.33,6.7,8,1.81,0
17,172,1,0,0,0,172.5,85,29.33,253.1,71,21.51,221.6,113,9.97,5.9,6,1.59,0
44,91,2,0,0,0,142.6,90,24.24,286.8,102,24.38,222.2,113,10.0,14.8,3,4.0,0
46,128,2,0,1,32,222.9,136,37.89,262.0,80,22.27,191.4,101,8.61,10.8,4,2.92,0
31,153,1,0,0,0,193.8,90,32.95,195.3,121,16.6,182.7,108,8.22,8.5,3,2.3,1
1,95,0,0,0,0,190.2,119,32.33,157.1,70,13.35,181.5,120,8.17,14.0,6,3.78,0
35,149,0,0,0,0,196.3,108,33.37,136.8,96,11.63,154.7,87,6.96,7.7,3,2.08,2
15,56,2,0,0,0,254.8,83,43.32,194.0,98,16.49,186.2,118,8.38,13.5,2,3.65,4
23,78,1,0,0,0,241.3,113,41.02,146.6,97,12.46,129.0,131,5.81,11.8,6,3.19,3
26,124,1,0,1,30,144.5,35,24.57,262.3,101,22.3,226.5,82,10.19,12.0,7,3.24,2
22,45,2,0,1,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1
1,120,1,0,0,0,216.5,113,36.81,251.8,91,21.4,164.5,125,7.4,7.3,1,1.97,3
39,77,0,0,0,0,196.6,87,33.42,117.7,103,10.0,124.9,100,5.62,11.4,3,3.08,2
41,209,1,0,0,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3
34,39,0,0,0,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2
10,64,2,0,0,0,216.9,78,36.87,211.0,115,17.94,179.8,116,8.09,11.4,5,3.08,3
1,74,1,0,0,0,207.1,79,35.21,182.0,100,15.47,233.7,73,10.52,7.4,8,2.0,1
1,71,1,0,0,0,103.3,103,17.56,138.5,79,11.77,164.8,98,7.42,9.0,2,2.43,2
18,155,0,0,1,39,183.3,106,31.16,205.1,101,17.43,263.7,90,11.87,5.1,7,1.38,1
8,64,1,0,1,31,281.9,121,47.92,240.6,104,20.45,212.2,120,9.55,7.0,5,1.89,3
26,125,2,0,0,0,143.2,80,24.34,88.1,94,7.49,233.2,135,10.49,8.8,7,2.38,4
50,116,2,0,1,12,221.0,108,37.57,151.0,118,12.84,179.0,80,8.06,9.0,6,2.43,2
5,65,2,0,0,0,158.8,53,27.0,188.5,132,16.02,189.3,87,8.52,9.8,4,2.65,2
8,30,1,0,1,30,217.4,74,36.96,213.8,86,18.17,227.2,104,10.22,6.6,3,1.78,0
32,55,1,0,0,0,132.0,103,22.44,279.6,114,23.77,180.0,74,8.1,13.5,4,3.65,0
5,84,1,0,0,0,148.8,89,25.3,189.8,93,16.13,147.6,73,6.64,6.3,2,1.7,1
38,87,0,0,1,30,262.8,114,44.68,215.8,130,18.34,154.8,88,6.97,7.8,2,2.11,0
27,38,0,0,0,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2
13,93,1,0,0,0,216.2,100,36.75,182.8,136,15.54,237.9,66,10.71,7.8,3,2.11,2
40,112,1,0,0,0,266.0,97,45.22,214.6,94,18.24,306.2,100,13.78,14.2,2,3.83,2
32,188,1,1,1,26,198.8,115,33.8,166.6,67,14.16,198.5,118,8.93,14.4,3,3.89,1
33,105,0,0,0,0,166.1,93,28.24,175.9,106,14.95,243.5,55,10.96,16.2,3,4.37,2
49,43,1,0,0,0,168.4,125,28.63,243.8,89,20.72,214.7,102,9.66,11.1,2,3.0,1
13,130,1,0,0,0,263.7,113,44.83,186.5,103,15.85,195.3,99,8.79,18.3,6,4.94,1
38,137,1,0,0,0,248.3,63,42.21,250.4,108,21.28,159.1,94,7.16,9.6,4,2.59,1
45,66,1,0,0,0,145.6,105,24.75,250.9,82,21.33,156.6,102,7.05,12.2,7,3.29,1
44,83,2,0,1,33,228.2,85,38.79,249.2,114,21.18,93.5,89,4.21,10.2,7,2.75,0
42,98,1,0,0,0,162.8,65,27.68,185.0,109,15.73,219.5,104,9.88,6.0,3,1.62,2
36,73,1,1,1,34,252.9,103,42.99,220.1,79,18.71,144.9,65,6.52,11.4,3,3.08,0
25,92,2,0,1,27,233.6,126,39.71,152.9,94,13.0,262.1,95,11.79,12.8,4,3.46,1
0,51,2,1,1,12,135.8,60,23.09,200.6,134,17.05,192.4,98,8.66,12.3,7,3.32,2
13,83,1,1,1,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2
10,80,0,0,0,0,142.9,70,24.29,221.6,83,18.84,121.4,111,5.46,15.2,4,4.1,1
6,93,1,0,0,0,271.1,101,46.09,237.4,133,20.18,145.4,103,6.54,8.4,6,2.27,1
43,90,0,1,0,0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,8.4,4,2.27,1
41,97,1,0,0,0,245.2,109,41.68,165.5,152,14.07,159.2,96,7.16,9.1,8,2.46,1
25,107,2,0,1,30,198.9,87,33.81,207.0,90,17.6,159.8,76,7.19,12.6,4,3.4,3
29,91,2,0,1,37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0
49,113,1,0,0,0,61.2,111,10.4,92.3,88,7.85,197.4,114,8.88,13.7,3,3.7,5
43,64,1,0,0,0,168.0,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2
37,60,1,0,0,0,207.8,109,35.33,123.5,112,10.5,291.6,115,13.12,5.7,9,1.54,0
20,116,2,1,1,27,175.5,137,29.84,210.6,60,17.9,294.8,121,13.27,6.9,5,1.86,1
22,119,2,1,1,22,172.1,119,29.26,223.6,133,19.01,150.0,94,6.75,13.9,20,3.75,1
6,50,0,0,0,0,301.7,82,51.29,167.1,118,14.2,72.2,89,3.25,10.5,6,2.84,1
16,137,0,0,0,0,205.9,88,35.0,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,2
20,141,1,0,0,0,185.1,126,31.47,233.0,98,19.81,152.2,106,6.85,9.1,7,2.46,0
10,89,1,0,0,0,213.0,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1
30,127,1,1,0,0,324.3,107,55.13,141.6,90,12.04,207.6,90,9.34,12.8,7,3.46,1
46,142,1,0,0,0,232.5,74,39.53,181.8,142,15.45,203.1,86,9.14,10.4,6,2.81,4
12,197,1,0,0,0,233.9,96,39.76,218.9,111,18.61,182.9,109,8.23,9.5,3,2.57,0
18,140,1,0,1,27,176.0,141,29.92,201.3,143,17.11,167.9,93,7.56,7.1,5,1.92,3
24,83,2,0,0,0,133.9,82,22.76,169.6,105,14.42,222.8,114,10.03,11.7,4,3.16,0
29,94,1,0,0,0,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,11.1,7,3.0,2
49,167,2,0,0,0,191.5,93,32.56,163.8,76,13.92,189.1,103,8.51,14.1,9,3.81,1
49,72,2,0,1,33,96.6,59,16.42,315.4,98,26.81,163.3,117,7.35,6.2,4,1.67,4
35,108,1,0,1,30,126.0,124,21.42,202.4,84,17.2,186.4,99,8.39,8.6,1,2.32,1
29,86,0,0,0,0,83.8,121,14.25,240.2,96,20.42,158.6,108,7.14,6.7,8,1.81,1
19,142,0,0,0,0,216.8,134,36.86,187.8,106,15.96,138.1,108,6.21,8.3,2,2.24,0
2,88,0,0,0,0,152.9,119,25.99,171.2,107,14.55,257.0,106,11.57,12.0,5,3.24,2
28,140,2,0,0,0,244.7,115,41.6,258.6,101,21.98,231.3,112,10.41,7.5,6,2.03,1
23,30,0,0,0,0,54.0,68,9.18,179.3,96,15.24,247.2,101,11.12,10.2,8,2.75,1
48,95,1,0,0,0,198.9,101,33.81,209.7,91,17.82,145.3,55,6.54,11.4,4,3.08,1
7,87,1,0,1,18,124.3,104,21.13,196.1,80,16.67,290.0,110,13.05,7.2,3,1.94,1
0,117,1,0,0,0,181.5,95,30.86,205.1,88,17.43,204.0,82,9.18,14.7,9,3.97,2
11,24,1,0,0,0,156.2,104,26.55,90.0,101,7.65,205.1,116,9.23,7.3,5,1.97,1
26,130,0,0,1,19,152.9,87,25.99,213.2,99,18.12,205.3,114,9.24,10.8,6,2.92,2
38,110,2,0,0,0,158.6,97,26.96,204.4,123,17.37,182.5,123,8.21,11.3,3,3.05,2
25,68,1,0,1,34,160.0,72,27.2,184.5,119,15.68,208.3,101,9.37,6.1,10,1.65,1
9,116,0,0,0,0,146.4,123,24.89,176.6,113,15.01,212.6,102,9.57,7.8,5,2.11,1
18,117,0,0,0,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1
40,87,0,0,0,0,322.5,106,54.83,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54,2
26,109,0,0,0,0,264.7,69,45.0,305.0,120,25.93,197.4,86,8.88,9.5,9,2.57,1
32,41,1,0,0,0,232.1,74,39.46,327.1,88,27.8,226.5,119,10.19,10.9,2,2.94,3
49,139,1,0,0,0,271.6,130,46.17,156.0,131,13.26,136.3,108,6.13,11.6,9,3.13,2
30,90,1,0,0,0,76.1,121,12.94,290.3,73,24.68,236.9,89,10.66,10.8,3,2.92,0
40,104,1,0,0,0,109.1,141,18.55,187.1,140,15.9,216.6,100,9.75,10.0,4,2.7,3
21,108,2,0,1,48,185.6,125,31.55,224.6,125,19.09,284.7,87,12.81,6.9,3,1.86,1
41,52,2,0,1,20,133.3,63,22.66,184.1,123,15.65,272.9,107,12.28,13.5,2,3.65,1
36,174,0,0,0,0,178.0,49,30.26,141.5,83,12.03,265.1,114,11.93,6.2,5,1.67,3
50,142,0,0,1,34,219.5,85,37.32,144.0,120,12.24,258.2,84,11.62,7.0,3,1.89,1
19,90,0,0,0,0,157.9,72,26.84,234.0,93,19.89,210.0,86,9.45,12.2,5,3.29,2
17,80,0,0,0,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2
47,47,1,0,1,27,165.0,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,2
11,158,2,0,0,0,193.3,121,32.86,208.1,97,17.69,228.1,99,10.26,7.1,9,1.92,1
13,24,0,0,1,29,236.3,105,40.17,190.8,114,16.22,129.0,105,5.81,7.2,2,1.94,3
11,105,2,0,0,0,125.4,116,21.32,261.5,95,22.23,241.6,104,10.87,11.4,9,3.08,2
14,55,1,1,0,0,269.6,121,45.83,171.7,91,14.59,219.0,98,9.86,8.2,6,2.21,1
13,42,2,0,0,0,166.8,138,28.36,212.4,78,18.05,194.7,70,8.76,12.4,9,3.35,2
31,122,1,0,1,34,146.4,104,24.89,89.7,103,7.62,220.0,91,9.9,15.6,4,4.21,2
36,89,2,0,0,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1
16,138,2,0,1,26,183.9,83,31.26,240.7,93,20.46,185.7,125,8.36,15.0,3,4.05,1
43,108,1,0,0,0,133.1,52,22.63,256.3,103,21.79,247.2,118,11.12,11.9,3,3.21,3
50,87,1,0,1,16,257.4,91,43.76,232.0,101,19.72,143.2,73,6.44,14.7,2,3.97,1
2,68,2,0,0,0,172.7,95,29.36,139.1,90,11.82,174.3,99,7.84,11.7,1,3.16,2
44,86,2,1,1,41,225.5,95,38.34,229.3,101,19.49,134.0,82,6.03,11.6,10,3.13,2
24,142,1,0,1,30,154.0,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1
22,102,2,0,0,0,102.6,89,17.44,246.0,77,20.91,170.5,140,7.67,9.1,4,2.46,2
45,126,1,0,1,24,197.3,82,33.54,167.6,51,14.25,222.0,89,9.99,7.4,3,2.0,1
27,86,2,0,0,0,190.5,115,32.39,179.6,130,15.27,258.5,89,11.63,10.1,5,2.73,3
5,86,0,0,0,0,171.8,106,29.21,301.7,44,25.64,139.4,108,6.27,9.7,5,2.62,1
47,55,0,0,0,0,285.7,124,48.57,230.9,106,19.63,230.7,140,10.38,14.8,7,4.0,0
7,66,1,0,0,0,167.3,91,28.44,230.0,68,19.55,191.7,118,8.63,10.6,5,2.86,1
13,130,1,0,0,0,139.0,98,23.63,120.2,116,10.22,160.4,113,7.22,14.5,2,3.92,3
20,29,2,0,0,0,195.6,71,33.25,126.4,74,10.74,148.6,87,6.69,14.2,4,3.83,1
2,80,1,0,1,34,243.4,96,41.38,102.3,115,8.7,217.8,95,9.8,12.2,3,3.29,1
17,79,1,0,0,0,236.8,135,40.26,186.4,87,15.84,126.9,112,5.71,10.4,5,2.81,2
47,70,1,0,0,0,229.3,110,38.98,118.2,89,10.05,155.0,105,6.98,7.9,4,2.13,1
17,119,2,0,0,0,222.8,122,37.88,163.2,107,13.87,160.6,112,7.23,11.2,6,3.02,1
23,133,1,0,0,0,128.9,85,21.91,201.4,93,17.12,275.3,103,12.39,11.1,3,3.0,1
48,120,1,0,1,29,244.3,140,41.53,322.3,89,27.4,166.8,83,7.51,10.6,6,2.86,0
31,165,1,0,1,17,177.9,68,30.24,153.9,112,13.08,251.2,121,11.3,10.6,7,2.86,1
3,100,1,0,0,0,131.1,108,22.29,176.2,81,14.98,89.7,81,4.04,4.3,4,1.16,1
37,135,1,0,0,0,263.8,66,44.85,251.3,116,21.36,200.1,112,9.0,8.4,2,2.27,5
25,190,1,1,0,0,111.9,55,19.02,223.0,124,18.96,243.2,81,10.94,10.0,7,2.7,3
2,85,1,0,0,0,96.7,97,16.44,193.8,95,16.47,171.7,88,7.73,9.7,3,2.62,2
11,50,0,0,1,40,235.7,127,40.07,223.0,126,18.96,297.5,116,13.39,9.9,5,2.67,2
4,95,1,0,0,0,183.4,98,31.18,281.3,95,23.91,105.2,113,4.73,8.2,8,2.21,1
49,66,1,0,0,0,239.6,120,40.73,230.3,110,19.58,153.0,82,6.89,8.6,3,2.32,1
7,123,0,0,1,28,124.7,105,21.2,250.4,78,21.28,216.4,128,9.74,7.8,8,2.11,1
15,58,1,0,1,22,224.1,127,38.1,238.8,85,20.3,174.2,86,7.84,11.5,7,3.11,2
33,130,2,0,0,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2
23,109,0,0,0,0,162.6,138,27.64,154.0,109,13.09,209.7,118,9.44,11.5,4,3.11,0
3,68,1,0,0,0,232.4,76,39.51,153.3,103,13.03,214.6,107,9.66,10.5,2,2.84,1
19,119,0,1,1,16,147.2,103,25.02,160.1,96,13.61,184.0,120,8.28,7.7,2,2.08,0
24,83,1,0,0,0,196.7,117,33.44,272.0,89,23.12,199.9,62,9.0,10.1,11,2.73,3
31,91,1,0,0,0,93.5,110,15.9,213.3,79,18.13,171.7,83,7.73,8.9,4,2.4,4
2,41,1,0,0,0,102.9,114,17.49,107.9,119,9.17,277.6,99,12.49,11.0,4,2.97,6
29,136,1,0,0,0,121.5,80,20.66,220.1,97,18.71,179.5,94,8.08,10.4,5,2.81,1
10,69,0,0,0,0,215.9,122,36.7,270.3,114,22.98,301.8,129,13.58,6.1,5,1.65,4
20,90,1,0,0,0,114.4,122,19.45,127.7,154,10.85,253.1,109,11.39,10.1,5,2.73,2
35,110,1,0,1,37,227.9,80,38.74,101.9,141,8.66,188.1,110,8.46,5.1,6,1.38,0
42,97,0,0,0,0,238.6,85,40.56,203.3,75,17.28,180.5,127,8.12,16.2,8,4.37,0
13,107,1,0,0,0,260.6,81,44.3,246.1,116,20.92,243.3,117,10.95,12.8,9,3.46,0
19,122,0,0,1,29,195.4,83,33.22,268.2,93,22.8,168.0,95,7.56,8.4,6,2.27,3
7,170,2,0,0,0,184.1,106,31.3,204.9,70,17.42,224.3,133,10.09,9.8,3,2.65,2
32,161,0,0,0,0,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4,2
44,103,1,0,0,0,189.8,110,32.27,115.5,83,9.82,191.3,103,8.61,12.2,4,3.29,0
3,102,2,0,0,0,171.6,116,29.17,219.4,111,18.65,242.1,85,10.89,12.1,4,3.27,0
26,147,1,0,1,35,197.3,134,33.54,141.1,99,11.99,212.1,90,9.54,10.1,4,2.73,2
22,112,2,0,0,0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1
3,88,1,0,0,0,172.8,81,29.38,193.4,90,16.44,89.6,107,4.03,12.8,5,3.46,2
33,93,0,0,0,0,114.3,100,19.43,221.1,103,18.79,126.3,88,5.68,10.9,9,2.94,0
43,130,1,0,0,0,176.9,109,30.07,90.7,104,7.71,238.0,69,10.71,9.5,2,2.57,1
49,32,0,0,1,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1
3,109,1,1,0,0,268.4,85,45.63,150.6,131,12.8,297.9,84,13.41,9.7,8,2.62,2
14,48,2,0,0,0,128.2,71,21.79,48.1,78,4.09,116.3,80,5.23,8.9,3,2.4,0
28,56,2,0,1,37,153.7,97,26.13,271.4,91,23.07,179.0,121,8.06,8.3,2,2.24,1
49,99,0,0,1,12,119.9,83,20.38,237.7,98,20.2,187.6,159,8.44,16.6,2,4.48,1
36,134,1,0,0,0,164.9,115,28.03,126.5,96,10.75,238.5,125,10.73,10.0,9,2.7,2
